model,MAE,MSE,RMSE,R2,sMAPE,WAPE,MAPE,Accuracy,Precision,Recall,F1,FPR,FNR,TN,FP,FN,TP,ROC_AUC,parameter_count,model_size_mb,inference_latency_mean_ms,inference_latency_p50_ms,inference_latency_p95_ms,checkpoint,train_seconds,rank_rmse,rank_r2,rank_f1,rank_latency,selection_score
moving_average,4.966392941846315,91.96294516454378,9.589731235261173,0.8591184751140751,64.00733900453388,21.770113097845755,70.25211997406853,0.9394,0.6971458773784355,0.6736465781409602,0.6851948051948052,0.031759228466910545,0.3263534218590398,17469,573,639,1319,0.9531480229028646,0,0.0,6.130208021204453e-05,5.234369382378645e-05,7.390635801129968e-05,,,1.0,1.0,2.0,2.0,1.55
persistence,5.034296292218671,126.8196469726433,11.26142295505516,0.8057201711076879,25.393006905030642,22.06776647216359,66.38307120009998,0.9453,0.717741935483871,0.7272727272727273,0.7224759005580923,0.03103868750692828,0.2727272727272727,17482,560,534,1424,0.9470887444674263,0,0.0,3.2552028036055467e-06,3.1250237952917814e-06,5.1172264647902895e-06,,,4.0,4.0,1.0,1.0,2.35
tcn_bilstm32_temporal_attention,5.948975916011992,103.31450366549704,10.164374238756514,0.8417285919542363,77.52821308587059,26.077251644086548,93.90316059961458,0.94585,0.8252788104089219,0.5669050051072523,0.6721162579473207,0.013025163507371689,0.4330949948927477,17807,235,848,1110,0.9505522326239342,23231,0.3387336730957031,0.5355873437565606,0.5317457030287187,0.6500682419527948,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\model_selection_seed_2026\models\tcn_bilstm32_temporal_attention_quick.keras,47.98,2.0,2.0,3.0,6.0,3.0
tcn32,6.501024130924407,117.10827687549845,10.821657769283709,0.8205973874209473,72.80691945523444,28.49714717286024,96.80670068961554,0.92445,0.6074002883229217,0.6455566905005107,0.6258974993810349,0.045283228023500724,0.35444330949948927,17225,817,694,1264,0.9414652611164122,4929,0.0994110107421875,0.4113946353754727,0.3905109374500171,0.5940490233115269,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\model_selection_seed_2026\models\tcn32_quick.keras,11.909,3.0,3.0,4.0,4.0,3.5500000000000003
tcn_feature_attention_bilstm_temporal_attention,7.389455570914212,139.7575438699648,11.821909484933675,0.7859001159708036,85.12554085920814,32.391573802958845,89.81028828767784,0.8986,0.48970588235294116,0.8503575076608785,0.6215005599104143,0.09616450504378672,0.14964249233912155,16307,1735,293,1665,0.9464282580233003,23413,0.3459014892578125,0.5403295833427061,0.5493652345194278,0.6661347657200167,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\model_selection_seed_2026\models\tcn_feature_attention_bilstm_temporal_attention_quick.keras,46.709,5.0,5.0,5.0,7.0,5.3
tcn_bilstm32_no_attn,8.26309377528614,161.663770403217,12.714706854788945,0.7523411363950716,88.63049829125461,36.221154494313716,102.16349926390731,0.8905,0.4671015314804311,0.841164453524004,0.600656455142232,0.10414588183128257,0.1588355464759959,16163,1879,311,1647,0.9391365244799927,23137,0.3292236328125,0.5521410416804429,0.5469968748457177,0.6598560938982699,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\model_selection_seed_2026\models\tcn_bilstm32_no_attn_quick.keras,33.837,6.0,6.0,6.0,8.5,6.375
lstm32,9.776355785046878,219.12387960737072,14.802833499278803,0.6643158149973183,83.98275114134194,42.854517074544304,113.72147505060512,0.816,0.33876404494382023,0.9239019407558733,0.49575226089339547,0.19571000997672097,0.07609805924412666,14511,3531,149,1809,0.9019579102625029,6433,0.10846710205078125,0.4102294009499019,0.41339999984302267,0.47258566385153244,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\model_selection_seed_2026\models\lstm32_quick.keras,24.522,7.0,7.0,8.0,3.0,6.800000000000001
bilstm32,9.19254210511929,233.56228641140117,15.28274472767903,0.6421970718031369,99.17348088050984,40.29537807992256,75.58443053530658,0.93875,0.8500477554918816,0.45454545454545453,0.5923460898502496,0.008701917747478107,0.5454545454545454,17885,157,1068,890,0.9194451681747242,12833,0.19718170166015625,0.4999740885674934,0.4969652343334019,0.7051694528399821,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\model_selection_seed_2026\models\bilstm32_quick.keras,27.886,8.0,8.0,7.0,5.0,7.15
arima,42.08026595573845,2178.448999728307,46.673857776364564,-2.3372486757445405,119.82463859686536,184.45824963324117,2216.7977008503262,0.0979,0.09785978597859786,0.9994892747701737,0.1782656221533977,0.999944573772309,0.0005107252298263534,1,18041,1,1957,0.4997176744219226,0,0.0,,,,,,9.0,9.0,9.0,8.5,8.924999999999999
