timestamp,request_count,bytes_sum,bytes_mean,bytes_max,bytes_p95,unique_hosts,status_2xx,status_3xx,status_4xx,status_5xx,error_count,error_rate,method_get,method_post,method_head,method_other,throughput_bytes_per_min,request_spike_score,congestion_score_proxy,target_next_congestion_score
1995-07-01 04:22:00+00:00,58.0,2711535.0,46750.60344827586,946425.0,140746.74999999988,29.0,54.0,4.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,2711535.0,0.03094362874403905,0.5626712640011953,0.5055206362276948
1995-07-01 04:23:00+00:00,62.0,1452247.0,23423.33870967742,516688.0,46841.899999999994,25.0,52.0,10.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,1452247.0,0.10361969693135369,0.47432606714261544,0.660359369536866
1995-07-01 04:24:00+00:00,53.0,810214.0,15287.056603773584,101267.0,60887.19999999999,26.0,47.0,6.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,810214.0,0.0,0.3802349348363132,0.5492410750207724
1995-07-01 04:25:00+00:00,62.0,737964.0,11902.645161290322,127045.0,48709.899999999965,22.0,55.0,6.0,1.0,0.0,1.0,0.016129032258064516,62.0,0.0,0.0,0.0,737964.0,0.1061494040785763,0.4096034289969612,0.437930084367217
1995-07-01 04:26:00+00:00,74.0,2293116.0,30988.054054054053,946425.0,79754.19999999998,27.0,67.0,7.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,2293116.0,0.33731052480158663,0.6248704317172049,0.5255185587575145
1995-07-01 04:27:00+00:00,85.0,1008559.0,11865.4,99942.0,62313.79999999995,35.0,79.0,6.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,1008559.0,0.5388660536654313,0.6257129067672194,0.46581076083359463
1995-07-01 04:28:00+00:00,68.0,888624.0,13068.0,257194.0,40310.0,29.0,55.0,13.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,888624.0,0.18384870408971601,0.47690314142051143,0.48431935365238094
1995-07-01 04:29:00+00:00,55.0,1295664.0,23557.52727272727,305722.0,100339.5,26.0,50.0,5.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,1295664.0,0.0,0.4169605319411605,0.3690965224001239
1995-07-01 04:30:00+00:00,65.0,2313639.0,35594.446153846155,1121554.0,91649.19999999994,24.0,60.0,5.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,2313639.0,0.12670856679209522,0.5392024717935975,0.2866734952780967
1995-07-01 04:31:00+00:00,48.0,1306062.0,27209.625,240531.0,130724.0,22.0,47.0,1.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,1306062.0,0.0,0.36710999852711323,0.45891968959825113
