epoch,train_loss,val_loss,val_rmse,learning_rate,epoch_time_seconds
1,0.010513577717513349,0.003019138006493449,0.05494668330748863,0.0007,12.882415899999614
2,0.011470802976969587,0.0030153878033161163,0.05491254686604981,0.0007,6.9209794000007605
3,0.01018582576064372,0.0030073097441345453,0.05483894368179009,0.0007,6.977454300000318
4,0.00907972143633354,0.0030116592533886433,0.05487858647403961,0.0007,6.74132869999994
5,0.007829135188864272,0.003007239429280162,0.054838302574753,0.0007,6.51985969999987
6,0.007517062386319962,0.003010458080098033,0.05486764146651497,0.0007,6.779493799999727
7,0.007031099079176784,0.0030045430175960064,0.05481371194870866,0.0007,6.579145400000016
8,0.006858185007958935,0.003009881591424346,0.05486238776634085,0.0007,6.890138499999921
9,0.006813477325839189,0.0030038279946893454,0.05480718926098423,0.0007,6.617147500000101
10,0.006541942036972287,0.0029951853211969137,0.05472828629874056,0.0007,6.851291900000433
11,0.006330148701744385,0.002989589236676693,0.05467713632476277,0.0007,6.815773999999692
12,0.006226791139283961,0.002987699117511511,0.054659849226937236,0.0007,7.026543300000412
13,0.006112793017586882,0.002994480775669217,0.05472184916163942,0.0007,6.849749900000461
14,0.0060728434083481015,0.002983718877658248,0.05462342791933007,0.0007,6.706402600000729
15,0.006106942101758434,0.0029993809293955564,0.05476660414336054,0.0007,6.885261899999932
16,0.006003521442716795,0.0029860460199415684,0.054644725453986576,0.0007,7.19590319999952
17,0.005982651899495486,0.0029917785432189703,0.05469715297178611,0.0007,6.965883399999257
18,0.0059288005841623866,0.0029833486769348383,0.05462003915171462,0.0007,7.0698733999997785
19,0.006026874703428384,0.002987845102325082,0.05466118460411448,0.0007,7.135203499999989
20,0.005910001090842854,0.002982920501381159,0.05461611942806958,0.0007,7.150046200000361
21,0.005827574184938763,0.0029783027712255716,0.0545738286289827,0.0007,7.112912500000675
22,0.005875029531307518,0.0029775823932141066,0.05456722819801375,0.0007,6.891400800000156
23,0.005788238612631482,0.0029756503645330667,0.054549522129282366,0.0007,6.896492500000022
24,0.0058597503400020555,0.002966942498460412,0.05446964749711909,0.0007,7.037006200000178
25,0.005717599064143103,0.0029673336539417505,0.054473237960871675,0.0007,6.841459700000087
26,0.005697680143063909,0.002968418877571821,0.05448319812173127,0.0007,6.995663099999547
27,0.005729772824940554,0.002970581641420722,0.05450304249691683,0.0007,7.138612799999464
28,0.0056565774756410486,0.0029674326069653034,0.05447414622520764,0.0007,7.053614200000084
29,0.005702768161034819,0.0029735644347965717,0.054530399180609083,0.0007,6.875368300000446
30,0.005655621718406008,0.002984742633998394,0.05463279815274332,0.0007,7.004907499999717
31,0.005631429815057958,0.0029749481473118067,0.054543085238294015,0.0007,7.029647700000169
32,0.005532844549861182,0.0029698358848690987,0.054496200646183574,0.0007,6.991163800000322
33,0.005876683344373877,0.002980983816087246,0.054598386570367134,0.0007,7.1805496000006315
34,0.005564318326291408,0.002974086208269,0.0545351832147743,0.0007,6.8300773000000845
35,0.005469023235131766,0.0029765674844384193,0.05455792778724664,0.0007,7.10692089999975
36,0.005539327510894182,0.002981203608214855,0.0546003993411665,0.0007,6.994824200000039
37,0.005430812080746537,0.002982971491292119,0.05461658622883821,0.0007,7.532154799999262
38,0.005476091967194519,0.002990571316331625,0.05468611630324122,0.0007,6.923768599999676
39,0.005634702986179526,0.002985399216413498,0.054638806872162736,0.0007,6.830895900000542
40,0.005492441421845572,0.0030014340300112963,0.05478534502959068,0.0007,6.929949400000623
41,0.006511731719169138,0.0029815405141562223,0.05460348445068522,0.0007,6.808645699999943
42,0.005613486873237102,0.0029790117405354977,0.054580323748906964,0.0007,6.764623699999902
43,0.005594353171149164,0.0029755565337836742,0.05454866207143558,0.0007,6.826698199999555
44,0.005457306874842707,0.0029856087639927864,0.054640724409480396,0.0007,7.064879899999141
45,0.005359969314794695,0.002977443393319845,0.05456595452587488,0.0007,7.00261909999972
46,0.0054197203182207235,0.0029928863514214754,0.05470727877916681,0.0007,6.915778800000226
