epoch,loss,lr,mae,val_loss,val_mae
0,0.011409902945160866,0.0005,0.07864540070295334,0.00319620780646801,0.04399315267801285
1,0.008871817030012608,0.0005,0.06998707354068756,0.0033665085211396217,0.04235617071390152
2,0.00864308699965477,0.0005,0.06903237104415894,0.0032064029946923256,0.045145004987716675
3,0.008361359126865864,0.00025,0.06787513941526413,0.0032621922437101603,0.042252641171216965
