epoch,train_loss,val_loss,val_rmse,learning_rate,epoch_time_seconds
1,0.010454584171817627,0.003017639508470893,0.0549330456871899,0.0007,8.597576100000879
2,0.010780334700254744,0.003006634069606662,0.054832782800133914,0.0007,8.389749399997527
3,0.008806047597219854,0.003022311022505164,0.05497554931517432,0.0007,8.52745120000327
4,0.0074706372595653775,0.0030077979899942875,0.05484339513555199,0.0007,8.514326999997138
5,0.00732650997828734,0.0030076836701482534,0.05484235288669017,0.0007,8.362760200005141
6,0.007062549071041134,0.003000382101163268,0.05477574372989625,0.0007,8.49886250000418
7,0.006980117506431311,0.002998137613758445,0.05475525192854513,0.0007,8.5531409000032
8,0.006629299348105122,0.0030037492979317904,0.05480647131436023,0.0007,8.547319900004368
9,0.006491819082424463,0.002983367070555687,0.05462020752940881,0.0007,8.515844100002141
10,0.006347464170735957,0.0029837768524885178,0.05462395859408688,0.0007,8.373744500000612
11,0.006254712630094688,0.0029767281375825405,0.054559400084518345,0.0007,8.370296200002485
12,0.006283165832060609,0.0029705334454774857,0.05450260035518934,0.0007,8.539139100001194
13,0.0061477018575173585,0.0029751965776085854,0.05454536256739509,0.0007,8.756607699993765
14,0.006101260578071468,0.002973527880385518,0.054530064004964435,0.0007,8.417609800002538
15,0.006118014972562787,0.0029691129457205534,0.05448956731082156,0.0007,8.499379700006102
16,0.006075719306559375,0.002965667052194476,0.054457938376277853,0.0007,8.679560900003708
17,0.005983199596698029,0.0029678144492208958,0.05447765091503942,0.0007,8.400115699994785
18,0.005997297390667575,0.0029637860134243965,0.05444066507147388,0.0007,8.380277600001136
19,0.005981310371183947,0.0029699159786105156,0.05449693549742513,0.0007,8.441467399999965
20,0.005919007012578711,0.0029663091991096735,0.05446383386348847,0.0007,8.349527300000773
21,0.005915336113088252,0.002963145263493061,0.054434779906720125,0.0007,8.662237299999106
22,0.005988511680939308,0.002966158092021942,0.05446244662170386,0.0007,8.57510049999837
23,0.0060148648206102715,0.0029757150914520025,0.0545501154119036,0.0007,8.542172899993602
24,0.00593052655484611,0.002966152736917138,0.0544623974584037,0.0007,8.583350599998084
25,0.0058417313831617655,0.0029677182901650667,0.054476768352803996,0.0007,8.465366199998243
26,0.005813762347025566,0.0029682971071451902,0.054482080605876185,0.0007,8.589700800002902
27,0.005736379001781428,0.0029672447126358747,0.05447242157859218,0.0007,8.448049400001764
28,0.005762407622886089,0.002965011168271303,0.05445191611202771,0.0007,8.60471310000139
29,0.005788959900252103,0.002968578366562724,0.05448466175505474,0.0007,8.551180900001782
30,0.0057608858088366265,0.002967515029013157,0.0544749027444121,0.0007,8.502747299993644
31,0.005653839706171179,0.002970533911138773,0.05450260462710725,0.0007,8.38110400000005
32,0.0057347264248103404,0.002968190237879753,0.05448109982259677,0.0007,8.39530360000208
33,0.0056322644857082806,0.002974686212837696,0.05454068401512486,0.0007,8.490995899999689
34,0.005584203617469397,0.0029714962001889944,0.05451143183029587,0.0007,8.5216952999981
35,0.005728971345737325,0.0029725474305450916,0.054521073270296976,0.0007,8.397272499998508
36,0.005602326911214864,0.002980516292154789,0.05459410492127139,0.0007,8.459897300002922
37,0.005583709079165305,0.002975552110001445,0.054548621522467866,0.0007,8.574541999994835
38,0.005490921790125581,0.002976147923618555,0.054554082556840376,0.0007,8.587934299997869
39,0.005580463845366508,0.002970821922644973,0.05450524674418943,0.0007,8.43421859999944
40,0.005608930120380658,0.0029750163666903973,0.05454371060617711,0.0007,8.44792199999938
41,0.005612159560151984,0.0029804811347275972,0.05459378293109571,0.0007,8.590643600000476
42,0.005533491978107878,0.0029812143184244633,0.05460049741920364,0.0007,8.66843350000272
43,0.0053676055919567355,0.002977522788569331,0.05456668203738735,0.0007,8.77346419999958
44,0.005377961239997255,0.0029779181350022554,0.05457030451630498,0.0007,8.575333699998737
45,0.005334109223311704,0.002973869675770402,0.05453319792356214,0.0007,8.420000700003584
46,0.005404760143091755,0.0029791404958814383,0.05458150323948066,0.0007,8.416411199999857
47,0.005475739125696042,0.0029783458448946476,0.05457422326423572,0.0007,8.574511700004223
48,0.005318700242525992,0.002991264685988426,0.05469245547594683,0.0007,8.649010000000999
49,0.005350705582303194,0.002995468908920884,0.05473087710717675,0.0007,8.494387599996116
50,0.005345604712080755,0.0029995888471603394,0.054768502327161905,0.0007,8.40554219999467
51,0.005281096958199495,0.0030007916502654552,0.054779482018959026,0.0007,8.557160700001987
52,0.005411440021557252,0.0029974987264722586,0.054749417590256234,0.0007,8.457497799994599
53,0.005242855000843326,0.0030016875825822353,0.05478765903542727,0.0007,8.573210599999584
54,0.0052266297516611855,0.003006331855431199,0.05483002695085239,0.0007,8.446793000002799
55,0.00517666813671547,0.003003826830536127,0.05480717864054058,0.0007,8.497082399997453
56,0.005304807441288166,0.002997785806655884,0.054752039292211604,0.0007,8.485071899995091
57,0.0052517734473215396,0.003009639447554946,0.054860180892473784,0.0007,8.48507690000406
58,0.005297803611682958,0.003012404078617692,0.054885372173446106,0.0007,8.397630300001765
59,0.005257889890017804,0.0030099714640527964,0.054863206833476265,0.0007,8.319326899996668
60,0.005134637785677829,0.003023280296474695,0.054984364109032804,0.0007,8.425208199994813
