model,MAE,MSE,RMSE,R2,sMAPE,WAPE,MAPE,Accuracy,Precision,Recall,F1,FPR,FNR,TN,FP,FN,TP,ROC_AUC,parameter_count,model_size_mb,inference_latency_mean_ms,inference_latency_p50_ms,inference_latency_p95_ms,checkpoint,train_seconds,seed
tcn_bilstm32_temporal_attention,5.169497374226065,26.901512131568897,5.1866667650398455,-145.91712555094065,31.85340551034109,27.496668495257108,27.46100920818944,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,23231,0.3387336730957031,0.2991365104511108,0.2919914063568285,0.3450655079404896,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\longrun_20260517_211328\model_selection_seed_123\models\tcn_bilstm32_temporal_attention_quick.keras,4.578,123
tcn_feature_attention_bilstm_temporal_attention,8.428421518381905,71.22542300828208,8.439515567156807,-387.9831308867901,57.75231457215474,44.83095660028941,44.80132990195291,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,23413,0.3459014892578125,0.3122309635121685,0.2882410155962134,0.4471541796192466,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\longrun_20260517_211328\model_selection_seed_123\models\tcn_feature_attention_bilstm_temporal_attention_quick.keras,4.941,123
persistence,0.3009822228375603,0.200161229798248,0.4473938195798507,-0.0931397605040449,1.612373065786354,1.6009309619910612,1.6130758932273723,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,0,0.0,3.750013396105108e-06,2.343767846468836e-06,8.554752639611231e-06,,,2026
moving_average,0.2881934222053079,0.1576343048139225,0.3970318687636076,0.1391123726348069,1.5378621327870217,1.5329070544463503,1.5443306725965444,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,0,0.0,6.520831448142417e-05,5.156243787496351e-05,0.0001392970261804,,,2026
arima,4.274556773267825,22.93614702837548,4.789169763996206,-124.26109224426534,19.96377323830224,22.73646005600261,22.781062257653645,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,0,0.0,,,,,,2026
lstm32,18.43329694806872,339.995028157124,18.438954096074,-1855.8135498910572,192.24316263527524,98.04710569788465,98.0460967211056,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,6433,0.1084671020507812,0.4378187760418465,0.2765101562545169,0.9690826171663496,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\longrun_20260517_211328\model_selection_seed_2026\models\lstm32_quick.keras,5.519,2026
bilstm32,18.507291892653,342.7036517854388,18.5122567988195,-1870.6061457765643,193.8518220302458,98.44068641072204,98.4411641134367,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,12833,0.1971817016601562,0.2930391145734272,0.2683624998098821,0.4505580077875491,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\longrun_20260517_211328\model_selection_seed_2026\models\bilstm32_quick.keras,3.748,2026
tcn32,12.221041614518446,149.8953165612579,12.24317428452515,-817.6227203520394,96.38149138041402,65.00398503277395,64.97230359601312,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,4929,0.0994110107421875,0.2819308072654773,0.2279078125866362,0.3630764451145296,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\longrun_20260517_211328\model_selection_seed_2026\models\tcn32_quick.keras,1.738,2026
tcn_bilstm32_no_attn,7.852423215613646,61.91309221165712,7.868487288650666,-337.12573424200707,52.7740313003522,41.7672091528075,41.733591650851,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,23137,0.3292236328125,0.267641536447627,0.261630078057351,0.3053050390462886,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\longrun_20260517_211328\model_selection_seed_2026\models\tcn_bilstm32_no_attn_quick.keras,3.778,2026
tcn_bilstm32_temporal_attention,5.71042754019008,32.82313244882715,5.729147619744769,-178.25684799333465,35.78946982843013,30.37388776356628,30.336803357779846,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,23231,0.3387336730957031,0.3260582031695473,0.2894624999498774,0.4448987499699797,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\longrun_20260517_211328\model_selection_seed_2026\models\tcn_bilstm32_temporal_attention_quick.keras,4.149,2026
tcn_feature_attention_bilstm_temporal_attention,4.618562887696659,21.52241690884602,4.639225895431911,-116.54029333711696,27.977482611609734,24.56623602918554,24.525649412620307,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,23413,0.3459014892578125,0.3175517708768893,0.2958320310426643,0.3755445702836368,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\longrun_20260517_211328\model_selection_seed_2026\models\tcn_feature_attention_bilstm_temporal_attention_quick.keras,4.503,2026
