Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,15704,159,1100,1106.8475928870075,1.9625999848358333,1880.844499974046,45.534258787570046,8.727712430195512,0.08836642106476607,1100,1200,1200,1300,1400,1500,1600,1600,1800,1900,1900
GET,/cpu,61542,594,1200,1156.9023932729338,2.0095999934710562,2060.7658000080846,14.74669331513438,34.202806824954926,0.33012361077025815,1200,1200,1300,1300,1400,1500,1600,1700,1800,2000,2100
GET,/io,31099,282,1500,1453.706733393331,2.142300014384091,2538.1243000156246,15.746422714556738,17.283693891151948,0.1567253505676983,1500,1600,1600,1700,1800,1900,2000,2100,2200,2400,2500
GET,/maybe-error,23126,2007,1100,1109.3351222000856,2.3524999851360917,1966.547999996692,25.21106114330191,12.852590273860251,1.1154176545722359,1100,1200,1200,1300,1400,1500,1600,1600,1800,1900,2000
,Aggregated,131471,3042,1200,1212.7642706246897,1.9625999848358333,2538.1243000156246,20.501403351309413,73.06680342016264,1.6906330369749583,1200,1300,1400,1400,1600,1700,1800,1900,2100,2300,2500
