Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,102005,11713,18,24.483695964809396,1.8441000138409436,217.157400038559,40.717925591882754,56.69555232886648,6.51022013066039,18,26,33,38,52,66,83,94,140,190,220
GET,/cpu,80957,9295,30,34.97882335694463,1.6472000279463828,224.4403000222519,13.180898501673727,44.996831820871954,5.1662679172277235,30,39,46,51,65,78,96,110,150,200,220
GET,/io,61242,6989,99,97.96878167771165,1.8556999857537448,303.21049998747185,14.078051010744261,34.039008045923644,3.8845665920930132,99,120,130,140,160,170,190,200,240,280,300
GET,/maybe-error,20260,2605,19,25.27440858360204,1.9102999940514565,199.99719999032095,22.388400789733463,11.260741043898191,1.4478889644301474,19,27,34,38,53,66,84,96,140,180,200
,Aggregated,264464,30602,30,44.77397171187247,1.6472000279463828,303.21049998747185,24.715178625446185,146.99213323956027,17.008943604411275,30,45,60,71,110,140,160,170,220,250,300
