Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3411,0,2100,2123.336381237203,46.18760000448674,3326.528000005055,46.0,1.8961031327306417,0.0,2100,2200,2300,2400,2500,2700,2800,2900,3200,3300,3300
GET,/cpu,34232,0,2300,2258.391697850058,42.807299993000925,3501.2109999661334,15.687426968917972,19.028848560432518,0.0,2300,2400,2500,2500,2700,2800,3000,3000,3300,3500,3500
GET,/io,24169,0,2900,2862.65398858877,313.7155999429524,4536.756900022738,15.890438164591005,13.4350385854491,0.0,2900,3000,3200,3200,3400,3600,3700,3800,4100,4500,4500
GET,/maybe-error,13562,2049,2100,2132.339406341163,5.141700035892427,3313.679900020361,25.90650346556555,7.538830456198465,1.138995989142505,2100,2300,2300,2400,2500,2700,2800,2900,3200,3300,3300
,Aggregated,75374,2049,2400,2423.358668456029,5.141700035892427,4536.756900022738,18.963011117892112,41.89882073481073,1.138995989142505,2400,2600,2700,2800,3100,3300,3500,3600,4000,4300,4500
