model,MAE,MSE,RMSE,R2,sMAPE,WAPE,MAPE,Accuracy,Precision,Recall,F1,FPR,FNR,TN,FP,FN,TP,ROC_AUC,parameter_count,model_size_mb,inference_latency_mean_ms,inference_latency_p50_ms,inference_latency_p95_ms,checkpoint,train_seconds,rank_rmse,rank_r2,rank_f1,rank_latency,selection_score
moving_average,0.2881934222053079,0.15763430481392254,0.39703186876360763,0.1391123726348069,1.5378621327870217,1.5329070544463503,1.5443306725965444,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,0,0.0,4.934895514452364e-05,4.726575753011275e-05,5.7031229516724125e-05,,,1.0,1.0,5.0,2.0,2.75
persistence,0.3009822228375603,0.200161229798248,0.4473938195798507,-0.09313976050404493,1.612373065786354,1.6009309619910612,1.6130758932273725,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,0,0.0,2.0052084437338635e-06,1.5625118976458907e-06,3.2031493901740717e-06,,,2.0,2.0,5.0,1.0,3.05
tcn_bilstm32_temporal_attention,5.169497374226065,26.901512131568897,5.1866667650398455,-145.91712555094065,31.853405510341094,27.496668495257108,27.46100920818944,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,23231,0.3387336730957031,0.29913651045111084,0.2919914063568285,0.3450655079404896,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\longrun_20260517_211328\model_selection_seed_123\models\tcn_bilstm32_temporal_attention_quick.keras,4.578,4.0,4.0,5.0,4.0,4.3999999999999995
arima,4.274556773267825,22.93614702837548,4.789169763996206,-124.26109224426534,19.96377323830224,22.736460056002606,22.781062257653645,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,0,0.0,,,,,,3.0,3.0,5.0,8.5,4.625
tcn_bilstm32_no_attn,5.899774758254781,34.99310076374513,5.915496662474347,-190.10768767123696,37.192202891697086,31.38102971736284,31.344982158400587,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,23137,0.3292236328125,0.2922092187418457,0.2722765623275336,0.377723476481151,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\longrun_20260517_211328\model_selection_seed_123\models\tcn_bilstm32_no_attn_quick.keras,6.357,5.0,5.0,5.0,3.0,4.7
tcn_feature_attention_bilstm_temporal_attention,8.428421518381905,71.22542300828208,8.439515567156807,-387.9831308867901,57.75231457215474,44.830956600289404,44.80132990195291,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,23413,0.3459014892578125,0.31223096351216856,0.2882410155962134,0.44715417961924664,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\longrun_20260517_211328\model_selection_seed_123\models\tcn_feature_attention_bilstm_temporal_attention_quick.keras,4.941,6.0,6.0,5.0,5.0,5.45
tcn32,15.519963245181476,241.23380663172088,15.53170327529215,-1316.4492676362775,140.68316083140806,82.55102063480956,82.54376542549112,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,4929,0.0994110107421875,0.8434382552119738,0.7300894530999358,0.847845312409845,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\longrun_20260517_211328\model_selection_seed_123\models\tcn32_quick.keras,5.116,7.0,7.0,5.0,6.0,6.050000000000001
bilstm32,16.558035291183522,274.6591881067452,16.57284490082331,-1498.995175938267,157.69801711401809,88.07254833021435,88.0757201230546,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,12833,0.19718170166015625,0.8661188021202785,0.8412492188654142,1.1474038670485243,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\longrun_20260517_211328\model_selection_seed_123\models\bilstm32_quick.keras,11.471,8.0,8.0,5.0,7.0,6.6499999999999995
lstm32,17.998903849764783,324.14666437632184,18.004073549514338,-1769.2609412505667,183.63606393702867,95.7365593998552,95.73405522493455,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,6433,0.10846710205078125,0.9049628385582764,0.8414562498728628,1.1640590623755995,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\longrun_20260517_211328\model_selection_seed_123\models\lstm32_quick.keras,9.73,9.0,9.0,5.0,8.5,7.324999999999999
