Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4111,0,45,53.448437314326604,5.1040000398643315,282.6200000126846,46.0,46.002989711582316,0.0,45,64,77,86,110,130,150,170,240,280,280
GET,/cpu,3368,0,66,72.6126900538209,8.567399985622615,298.0968999909237,14.89043942992874,37.68865710255637,0.0,66,84,97,110,130,150,170,200,270,300,300
GET,/io,2490,0,140,140.596192289026,25.21859999978915,353.11550000915304,15.898393574297188,27.86364494814886,0.0,140,160,180,190,220,240,270,290,320,350,350
GET,/maybe-error,814,19,43,52.234304791112734,5.792599986307323,255.56800002232194,25.14004914004914,9.108838147708102,0.21261415823888688,44,65,76,84,100,120,140,170,260,260,260
,Aggregated,10783,19,68,79.46668912177557,5.1040000398643315,353.11550000915304,27.757395900955206,120.66412990999565,0.21261415823888688,68,94,110,130,160,190,220,240,300,340,350
