Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2333,0,9,12.333646463893915,5.538499972317368,1051.5156000037678,46.0,26.046831122733536,0.0,9,10,11,12,16,21,29,34,1000,1100,1100
GET,/cpu,655,0,16,20.058564732974496,7.313700043596327,1048.0335000320338,14.89618320610687,7.312762274063637,0.0,16,20,23,25,30,35,40,47,1000,1000,1000
GET,/io,631,0,55,60.660637085467705,16.438000020571053,1108.6915000341833,15.917591125198099,7.044813732723901,0.0,55,66,73,75,82,85,91,100,1100,1100,1100
GET,/maybe-error,341,4,10,15.46501114491996,6.797699956223369,1039.565599989146,25.070381231671554,3.8071021915354204,0.044658090223289384,10,12,13,14,19,25,36,68,1000,1000,1000
,Aggregated,3960,4,11,21.581613106492583,5.538499972317368,1108.6915000341833,34.25959595959596,44.21150932105649,0.044658090223289384,11,15,20,26,47,68,81,85,1100,1100,1100
