Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,130,0,3100,2708.025462304851,95.07919999305159,4069.841099961195,46.0,1.4440947399339104,0.0,3100,3300,3400,3400,3500,3600,3800,3900,4100,4100,4100
GET,/cpu,1222,0,3300,3033.3233935347494,105.35500000696629,4333.87579995906,15.704582651391162,13.574490555378757,0.0,3300,3500,3600,3600,3800,3900,4000,4000,4300,4300,4300
GET,/io,911,0,3800,3551.744659603857,385.73869998799637,5128.318600007333,15.893523600439078,10.119771600613788,0.0,3800,4000,4100,4200,4400,4600,4800,4800,5100,5100,5100
GET,/maybe-error,526,71,3000,2753.7337644494887,7.046599988825619,4049.549899995327,25.809885931558934,5.84302948619413,0.7886978964254434,3000,3300,3400,3400,3500,3600,3800,3800,4000,4000,4000
,Aggregated,2789,71,3300,3134.7679605588587,7.046599988825619,5128.318600007333,19.084259591251346,30.981386382120586,0.7886978964254434,3300,3600,3700,3800,4100,4300,4600,4700,5000,5100,5100
