Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2469,0,7,8.206741271956204,4.72040002932772,41.66549997171387,46.0,27.582873757566485,0.0,7,8,9,9,12,15,19,24,41,42,42
GET,/cpu,594,0,9,10.419189730743009,4.839799948967993,41.20949999196455,14.902356902356903,6.635976918588292,0.0,9,10,11,12,15,20,27,32,41,41,41
GET,/io,637,0,30,29.662773624432436,9.907700004987419,64.7146999835968,15.893249607535322,7.116359086095525,0.0,30,35,38,39,43,46,48,50,65,65,65
GET,/maybe-error,282,1,8,8.992096807779612,4.788500024005771,30.878500023391098,26.0177304964539,3.1504132845823203,0.011171678314121703,8,9,10,10,12,17,21,27,31,31,31
,Aggregated,3982,1,8,12.024711451300483,4.72040002932772,64.7146999835968,35.129834254143645,44.48562304683262,0.011171678314121703,8,10,12,15,27,36,42,45,52,65,65
