model,MAE,MSE,RMSE,R2,sMAPE,WAPE,MAPE,Accuracy,Precision,Recall,F1,FPR,FNR,TN,FP,FN,TP,ROC_AUC,parameter_count,model_size_mb,inference_latency_mean_ms,inference_latency_p50_ms,inference_latency_p95_ms,checkpoint,train_seconds
persistence,0.3009822228375603,0.200161229798248,0.4473938195798507,-0.09313976050404493,1.612373065786354,1.6009309619910612,1.6130758932273725,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,0,0.0,3.7500133961051083e-06,2.343767846468836e-06,8.554752639611231e-06,,
moving_average,0.2881934222053079,0.15763430481392254,0.39703186876360763,0.1391123726348069,1.5378621327870217,1.5329070544463503,1.5443306725965444,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,0,0.0,6.520831448142417e-05,5.156243787496351e-05,0.00013929702618042925,,
arima,4.274556773267825,22.93614702837548,4.789169763996206,-124.26109224426534,19.96377323830224,22.736460056002606,22.781062257653645,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,0,0.0,,,,,
lstm32,18.43329694806872,339.995028157124,18.438954096073996,-1855.8135498910574,192.24316263527524,98.04710569788465,98.04609672110561,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,6433,0.10846710205078125,0.43781877604184655,0.2765101562545169,0.9690826171663496,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\longrun_20260517_211328\model_selection_seed_2026\models\lstm32_quick.keras,5.519
bilstm32,18.507291892653,342.7036517854388,18.5122567988195,-1870.6061457765645,193.8518220302458,98.44068641072205,98.4411641134367,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,12833,0.19718170166015625,0.2930391145734272,0.26836249980988214,0.4505580077875491,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\longrun_20260517_211328\model_selection_seed_2026\models\bilstm32_quick.keras,3.748
tcn32,12.221041614518446,149.8953165612579,12.24317428452515,-817.6227203520394,96.38149138041402,65.00398503277395,64.97230359601312,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,4929,0.0994110107421875,0.2819308072654773,0.22790781258663628,0.3630764451145296,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\longrun_20260517_211328\model_selection_seed_2026\models\tcn32_quick.keras,1.738
tcn_bilstm32_no_attn,7.852423215613646,61.913092211657116,7.868487288650666,-337.12573424200707,52.7740313003522,41.7672091528075,41.733591650851,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,23137,0.3292236328125,0.267641536447627,0.26163007805735106,0.3053050390462886,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\longrun_20260517_211328\model_selection_seed_2026\models\tcn_bilstm32_no_attn_quick.keras,3.778
tcn_bilstm32_temporal_attention,5.7104275401900795,32.82313244882715,5.729147619744769,-178.25684799333465,35.78946982843013,30.37388776356628,30.336803357779846,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,23231,0.3387336730957031,0.3260582031695473,0.2894624999498774,0.4448987499699797,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\longrun_20260517_211328\model_selection_seed_2026\models\tcn_bilstm32_temporal_attention_quick.keras,4.149
tcn_feature_attention_bilstm_temporal_attention,4.618562887696659,21.52241690884602,4.639225895431911,-116.54029333711695,27.977482611609734,24.56623602918554,24.525649412620307,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,23413,0.3459014892578125,0.31755177087688935,0.2958320310426643,0.37554457028363686,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\longrun_20260517_211328\model_selection_seed_2026\models\tcn_feature_attention_bilstm_temporal_attention_quick.keras,4.503
