epoch,train_loss,val_loss,val_rmse,learning_rate,epoch_time_seconds
1,0.010043427213409057,0.003108834847807884,0.05575692645589321,0.0007,5.798146299999644
2,0.01128612666526872,0.0030160865280777216,0.0549189086570165,0.0007,5.900537900000927
3,0.00916480071125866,0.0030629956163465977,0.055344336804650555,0.0007,5.868617500000255
4,0.008383038838320736,0.003045403165742755,0.05518517161106555,0.0007,5.629383299998153
5,0.007844047196303609,0.003050443949177861,0.05523082426668881,0.0007,5.873256299997593
6,0.007504630502407554,0.003029571147635579,0.05504154020043025,0.0007,5.878777000001719
7,0.007073753862118537,0.0030205424409359694,0.0549594617962728,0.0007,6.032692099997803
8,0.006846868858955214,0.0030219336040318012,0.05497211660498258,0.0007,5.869108900002175
9,0.0067075307004865305,0.0030186015646904707,0.054941801614894925,0.0007,5.773929599999974
10,0.006516013940890434,0.003015731228515506,0.05491567379642633,0.0007,5.7762030999983835
11,0.00637829367625998,0.0030073407106101513,0.05483922602125372,0.0007,5.70026720000169
12,0.006271449799042488,0.003009260632097721,0.05485672822997851,0.0007,5.910053699997661
13,0.006192884000614704,0.0030043921433389187,0.05481233568585559,0.0007,5.7081675000008545
14,0.006158147119718154,0.0030023136641830206,0.05479337244761469,0.0007,5.808217599998898
15,0.006113653609089637,0.002997206524014473,0.05474674898123607,0.0007,5.819826700000704
16,0.006087708104339041,0.0029935725033283234,0.05471354954056923,0.0007,5.960217100000591
17,0.006073225709724794,0.0029930402524769306,0.05470868534773003,0.0007,5.809580099998129
18,0.0060636177758445564,0.0029866956174373627,0.054650668956906304,0.0007,5.985660599999392
19,0.006077671032974475,0.0029916518833488226,0.05469599513080298,0.0007,5.831986199998937
20,0.006040247143350877,0.0029927166178822517,0.05470572746872353,0.0007,5.788917400001083
21,0.006080047520704232,0.002985819475725293,0.05464265253193052,0.0007,5.772711200002959
22,0.00606032243741446,0.002983798272907734,0.054624154665383465,0.0007,5.813264999997045
23,0.006037516054550835,0.002984526799991727,0.054630822801708986,0.0007,5.76386459999776
24,0.006013234927622455,0.0029850199352949858,0.05463533595847092,0.0007,5.7163887999995495
25,0.006001362153276634,0.002983734244480729,0.05462356858061115,0.0007,5.663172900000063
26,0.006069442432038904,0.0029822541400790215,0.05461001867861814,0.0007,5.770740799998748
27,0.005997160944323778,0.002982095116749406,0.0546085626687739,0.0007,6.046438399996987
28,0.006004049279203827,0.0029800529591739178,0.054589861322171515,0.0007,5.778982100000576
29,0.005984487658460739,0.002980185905471444,0.05459107899163969,0.0007,5.765630899997632
30,0.005980119861798423,0.0029771917033940554,0.05456364818626093,0.0007,5.921867299999576
31,0.006012773575533307,0.0029774762224406004,0.05456625534559432,0.0007,5.853996500001813
32,0.0059558194094034055,0.002979920245707035,0.05458864575813394,0.0007,5.780047100000957
33,0.005950296954304147,0.0029797395691275597,0.054586990841477605,0.0007,5.9012703000007605
34,0.005940273048858462,0.002979313489049673,0.05458308793985252,0.0007,5.804580600000918
35,0.005950443954677896,0.0029801512137055397,0.05459076124863565,0.0007,5.687368900002184
36,0.0059529744326712545,0.002979450626298785,0.054584344150120416,0.0007,5.974229600000399
37,0.005941878503261741,0.002988383872434497,0.05466611265157325,0.0007,5.7525018000014825
38,0.005939018846426703,0.0029780641198158264,0.054571642084656265,0.0007,5.792784199999005
39,0.005935980707113997,0.0029759134631603956,0.054551933633560555,0.0007,5.864151699999638
40,0.005939325629576538,0.0029846106190234423,0.0546315899368071,0.0007,5.787299899999198
41,0.005917538639963762,0.0029769926331937313,0.05456182395405904,0.0007,5.725863100000424
42,0.005912389011342036,0.002976273186504841,0.05455523060628413,0.0007,5.7596881999998
43,0.005921371363553355,0.002977722091600299,0.05456850824056215,0.0007,5.898844899998949
44,0.005912264238969747,0.0029758906457573175,0.05455172449847317,0.0007,5.830784199999471
45,0.005901441221345174,0.002984031569212675,0.05462629009197563,0.0007,5.700099300000147
46,0.00591499827163859,0.00298037170432508,0.05459278069786407,0.0007,5.825860600001761
47,0.005877860612759178,0.0029796892777085304,0.05458653018564681,0.0007,6.006487700000434
48,0.005918559010318491,0.002978032222017646,0.054571349827703966,0.0007,5.5945027000016125
49,0.005866534619466558,0.002984442748129368,0.05463005352486274,0.0007,5.927485000000161
50,0.005900965283855042,0.002981843426823616,0.05460625812874945,0.0007,6.002524200001062
51,0.00587508164482254,0.002985465805977583,0.05463941623020494,0.0007,5.878885000001901
52,0.005824546470160313,0.002980476710945368,0.05459374241564108,0.0007,5.713733000000502
53,0.005833991477527561,0.0029808604158461094,0.054597256486439955,0.0007,5.733173500000703
54,0.005940094968994682,0.002986687235534191,0.054650592270662456,0.0007,5.973665299999993
55,0.005866811423970574,0.002983361715450883,0.05462015850810837,0.0007,5.832721100003255
56,0.005869716513389198,0.002980134915560484,0.054590611972760335,0.0007,5.719653500000277
57,0.00588430322450324,0.0029778676107525826,0.05456984158628814,0.0007,5.738238599999022
58,0.005866207610920406,0.002983274171128869,0.05461935711017541,0.0007,5.733149399999093
59,0.0058199197972151505,0.002987636486068368,0.054659276303920895,0.0007,5.97083670000211
60,0.005835966290801429,0.002982671605423093,0.05461384078622463,0.0007,6.068096099999821
