epoch,train_loss,val_loss,val_rmse,learning_rate,epoch_time_seconds
1,0.010395309599796624,0.0030665358062833548,0.05537631087643303,0.0007,7.039096399999835
2,0.011303276623850375,0.0030854714568704367,0.055547020233946275,0.0007,6.944122500000958
3,0.01161141016630435,0.00305099762044847,0.05523583637864525,0.0007,6.957520799998747
4,0.00942392218203985,0.0030619774479418993,0.05533513755238979,0.0007,7.035730700001295
5,0.007781798630335441,0.003056035377085209,0.05528141981792082,0.0007,7.018633499999851
6,0.007406866454697224,0.0030488239135593176,0.05521615627295436,0.0007,6.966948299999785
7,0.0070637091151909545,0.0030607169028371572,0.055323746283464544,0.0007,7.176044499999989
8,0.006697306634722215,0.003055308712646365,0.05527484701603764,0.0007,6.928847199997108
9,0.006472194106370378,0.003057411639019847,0.05529386619707331,0.0007,6.898707000000286
10,0.006313445646933207,0.0030643027275800705,0.05535614444287166,0.0007,6.866130399997928
11,0.00622488338280511,0.0030616126023232937,0.05533184076391543,0.0007,7.013902400001825
12,0.0061517890482575876,0.003082567360252142,0.055520873194251384,0.0007,6.99566120000236
13,0.006193821701179311,0.003053048625588417,0.05525439915145596,0.0007,7.192991500000062
14,0.006094709537358264,0.003035213565453887,0.05509277235222318,0.0007,6.862751499997103
15,0.006082264677192388,0.003064239164814353,0.05535557031423625,0.0007,6.986575700000685
16,0.006136162080435773,0.0030377910006791353,0.05511615916116738,0.0007,7.008210200001486
17,0.006027283977057911,0.0030431405175477266,0.05516466729300311,0.0007,6.98896429999877
18,0.006094613958547792,0.0030447817407548428,0.055179540961798904,0.0007,6.995242099997995
19,0.006021250841427552,0.003027703845873475,0.0550245749267859,0.0007,6.825271400000929
20,0.005938851296524988,0.0030558661092072725,0.05527988883135776,0.0007,7.072045900000376
21,0.005901163496506097,0.0030419512186199427,0.05515388670456455,0.0007,7.016981599997962
22,0.005972341206081714,0.0030242600478231907,0.054993272750611874,0.0007,7.072107899999537
23,0.005917231228171189,0.003037502756342292,0.055113544218660916,0.0007,6.927596400000766
24,0.0058334375485736,0.0030456187669187784,0.05518712501044767,0.0007,7.106904000000213
25,0.005802638894417899,0.003044032258912921,0.0551727492419303,0.0007,6.920603900001879
26,0.005728405278458605,0.003050111699849367,0.055227816359596976,0.0007,7.050811400000384
27,0.005765775463993797,0.0030292964074760675,0.05503904439101453,0.0007,6.888422399999399
28,0.005733835128177836,0.0030482152942568064,0.05521064475494564,0.0007,6.930006800001138
29,0.00565321832827261,0.003050845582038164,0.05523446009547087,0.0007,6.85806600000069
30,0.005915638222620728,0.0030368855223059654,0.05510794427581168,0.0007,7.173021900001913
31,0.005655791775553665,0.003025998594239354,0.05500907738036836,0.0007,7.148983300001419
32,0.005607309651278545,0.003045163583010435,0.05518300085180612,0.0007,7.330343900001026
33,0.005450446540856043,0.003083094023168087,0.05552561591885395,0.0007,6.97903480000241
34,0.005679310244518552,0.0030397274531424046,0.0551337233745591,0.0007,7.0362967000000936
35,0.005578212534715788,0.003056428860872984,0.05528497861872594,0.0007,7.0525685000029625
36,0.005419868443768179,0.003053048625588417,0.05525439915145596,0.0007,6.820293500000844
37,0.005372595717983969,0.003130870871245861,0.05595418546673574,0.0007,6.885470799999894
38,0.00578938829686409,0.003049194812774658,0.0552195147821371,0.0007,7.183850299999904
39,0.005698230230835466,0.003075991291552782,0.055461619986733005,0.0007,7.086593899999571
40,0.005477148405632025,0.003069068305194378,0.05539917242337089,0.0007,7.103117299997393
41,0.005281646426484575,0.003117179498076439,0.055831706924259795,0.0007,7.173259700000926
42,0.005245913760579621,0.0031130672432482243,0.055794867535000243,0.0007,6.997619499998109
43,0.005220251834919949,0.0030983290635049343,0.055662636153032984,0.0007,7.001622299998417
44,0.005468271107915161,0.003066036384552717,0.05537180134827399,0.0007,6.987808199999563
45,0.005389536175290855,0.0031017446890473366,0.05569330919461813,0.0007,6.792774699999427
46,0.005260166093926835,0.0031003106851130724,0.05568043359307713,0.0007,6.929400400000304
47,0.005222594147035329,0.0030820800457149744,0.05551648445025112,0.0007,7.070700200001738
48,0.005484711031659684,0.0031191373709589243,0.055849237872677586,0.0007,7.156005100001494
49,0.005245270172992114,0.0031414777040481567,0.05604888673335231,0.0007,6.973088499998994
50,0.005092031890107842,0.003125234507024288,0.05590379689273608,0.0007,7.028298500001256
51,0.005244753057963811,0.003117189509794116,0.05583179658397279,0.0007,6.965129000000161
52,0.005124636044924597,0.0031466444488614798,0.05609495921080146,0.0007,7.092263299997285
53,0.005159914528354584,0.0031568792182952166,0.05618611232586943,0.0007,6.884622599998693
54,0.005469176684914345,0.003147726645693183,0.05610460449636182,0.0007,7.008128000001307
55,0.0051489047363421385,0.003121890127658844,0.05587387697000132,0.0007,7.002139700001862
56,0.005042546571316093,0.003155680373311043,0.056175442795860925,0.0007,7.179383400001825
57,0.005009219168653984,0.003167560324072838,0.05628108318141041,0.0007,6.999239100001432
58,0.004965141442018362,0.003144860966131091,0.0560790599611931,0.0007,7.175366999999824
59,0.005049694908960733,0.0031629952136427164,0.05624051220999606,0.0007,7.299079899999924
60,0.005293210657847145,0.003156204242259264,0.056180105395587,0.0007,7.07591279999906
